,Contract,MonthlyCharges,tenure,Dependents,SeniorCitizen,InternetService,StreamingTV,StreamingMovies,TechSupport,OnlineSecurity,Churn
0,Month-to-month,29.85,1,No,0,DSL,No,No,No,No,No
1,One year,56.95,34,No,0,DSL,No,No,No,Yes,No
2,Month-to-month,53.85,2,No,0,DSL,No,No,No,Yes,Yes
3,One year,42.3,45,No,0,DSL,No,No,Yes,Yes,No
4,Month-to-month,70.7,2,No,0,Fiber optic,No,No,No,No,Yes
5,Month-to-month,99.65,8,No,0,Fiber optic,Yes,Yes,No,No,Yes
6,Month-to-month,89.1,22,Yes,0,Fiber optic,Yes,No,No,No,No
7,Month-to-month,29.75,10,No,0,DSL,No,No,No,Yes,No
8,Month-to-month,104.8,28,No,0,Fiber optic,Yes,Yes,Yes,No,Yes
9,One year,56.15,62,Yes,0,DSL,No,No,No,Yes,No
10,Month-to-month,49.95,13,Yes,0,DSL,No,No,No,Yes,No
11,Two year,18.95,16,No,0,No,No,No,No,No,No
12,One year,100.35,58,No,0,Fiber optic,Yes,Yes,No,No,No
13,Month-to-month,103.7,49,No,0,Fiber optic,Yes,Yes,No,No,Yes
14,Month-to-month,105.5,25,No,0,Fiber optic,Yes,Yes,Yes,Yes,No
15,Two year,113.25,69,Yes,0,Fiber optic,Yes,Yes,Yes,Yes,No
16,One year,20.65,52,No,0,No,No,No,No,No,No
17,Two year,106.7,71,Yes,0,Fiber optic,Yes,Yes,No,Yes,No
18,Month-to-month,55.2,10,Yes,0,DSL,No,No,Yes,No,Yes
19,Month-to-month,90.05,21,No,0,Fiber optic,No,Yes,No,No,No
20,Month-to-month,39.65,1,No,1,DSL,No,Yes,No,No,Yes
21,One year,19.8,12,No,0,No,No,No,No,No,No
22,Month-to-month,20.15,1,No,0,No,No,No,No,No,Yes
23,Two year,59.9,58,No,0,DSL,No,No,Yes,No,No
24,Month-to-month,59.6,49,Yes,0,DSL,No,No,Yes,Yes,No
25,Month-to-month,55.3,30,No,0,DSL,No,No,No,Yes,No
26,Month-to-month,99.35,47,Yes,0,Fiber optic,Yes,Yes,No,No,Yes
27,Month-to-month,30.2,1,Yes,0,DSL,No,No,No,No,Yes
28,Two year,90.25,72,No,0,DSL,Yes,Yes,Yes,Yes,No
29,Month-to-month,64.7,17,Yes,0,DSL,Yes,Yes,No,No,Yes
30,Two year,96.35,71,No,1,Fiber optic,No,No,Yes,Yes,No
31,Month-to-month,95.5,2,No,1,Fiber optic,Yes,Yes,No,No,No
32,One year,66.15,27,Yes,0,DSL,No,No,Yes,Yes,No
33,Month-to-month,20.2,1,No,0,No,No,No,No,No,No
34,Month-to-month,45.25,1,No,1,DSL,No,No,No,No,No
35,Two year,99.9,72,Yes,0,Fiber optic,Yes,No,Yes,Yes,No
36,Month-to-month,69.7,5,No,0,Fiber optic,No,No,No,No,Yes
37,Month-to-month,74.8,46,No,0,Fiber optic,No,No,No,No,No
38,Month-to-month,106.35,34,No,0,Fiber optic,Yes,Yes,No,No,Yes
39,Month-to-month,97.85,11,No,0,Fiber optic,Yes,Yes,No,No,Yes
40,One year,49.55,10,Yes,0,DSL,No,No,No,No,No
41,Two year,69.2,70,Yes,0,DSL,Yes,No,No,Yes,No
42,One year,20.75,17,Yes,0,No,No,No,No,No,No
43,Two year,79.85,63,No,0,DSL,Yes,No,Yes,Yes,No
44,Month-to-month,76.2,13,No,0,DSL,Yes,No,Yes,Yes,No
45,Month-to-month,84.5,49,No,0,Fiber optic,No,Yes,No,No,No
46,Month-to-month,49.25,2,No,0,DSL,No,No,No,No,No
47,Month-to-month,80.65,2,No,0,Fiber optic,Yes,No,No,No,Yes
48,Two year,79.75,52,No,0,DSL,Yes,Yes,Yes,Yes,No
49,Two year,64.15,69,Yes,0,DSL,No,No,Yes,Yes,No
50,Month-to-month,90.25,43,No,1,Fiber optic,Yes,No,No,No,No
51,Month-to-month,99.1,15,No,0,Fiber optic,Yes,Yes,No,Yes,Yes
52,Month-to-month,69.5,25,No,1,DSL,Yes,No,Yes,Yes,No
53,Month-to-month,80.65,8,No,1,Fiber optic,No,No,No,No,Yes
54,One year,74.85,60,Yes,1,DSL,No,Yes,Yes,Yes,No
55,Month-to-month,95.45,18,No,1,Fiber optic,Yes,Yes,No,No,Yes
56,One year,99.65,63,Yes,0,Fiber optic,Yes,Yes,No,Yes,No
57,One year,108.45,66,Yes,1,Fiber optic,Yes,Yes,Yes,No,No
58,Two year,24.95,34,Yes,0,No,No,No,No,No,No
