,state,total_charge,international_plan,voice_mail_plan,number_customer_service_calls,churn
0,OH,55.540000000000006,no,yes,1,no
1,NJ,59.00000000000001,no,no,0,no
2,OH,65.02,yes,no,2,no
3,OK,49.36,yes,no,3,no
4,MA,76.28,no,yes,3,no
5,MO,44.980000000000004,yes,no,0,no
6,LA,70.97,no,no,1,no
7,WV,77.52,yes,yes,0,no
8,IN,50.77,no,no,4,yes
9,RI,54.62,no,no,0,no
10,IA,37.17,no,no,1,no
11,MT,56.32,no,no,3,no
12,NY,90.83000000000001,no,no,4,yes
13,ID,61.28999999999999,no,yes,1,no
14,VA,57.800000000000004,no,yes,1,no
15,TX,60.39,no,no,1,no
16,FL,56.14,no,no,0,no
17,CO,34.48,no,no,5,yes
18,AZ,45.49,no,no,0,no
19,SC,38.97,no,no,2,no
20,VA,45.3,no,no,0,no
21,WY,60.67,no,yes,0,no
22,MT,40.64,no,no,3,no
23,MO,62.42,no,no,0,no
24,HI,46.6,no,no,1,no
25,NH,66.64999999999999,no,no,1,no
26,AZ,76.49,no,no,1,yes
27,OK,56.25,no,yes,0,no
28,AK,44.5,no,yes,0,no
29,MA,51.5,no,no,1,no
30,AK,55.19,yes,yes,3,no
31,GA,44.099999999999994,no,no,3,no
32,MD,52.26,yes,yes,0,yes
33,AR,59.22999999999999,no,no,2,no
34,ID,36.67,no,no,3,no
35,WI,57.31,no,no,1,no
36,OR,46.0,no,yes,2,no
37,MI,55.800000000000004,no,no,3,no
38,DE,54.129999999999995,no,no,2,no
39,WY,44.28,no,yes,1,no
40,IA,66.21,no,no,3,no
41,IN,66.65,no,no,1,no
42,VA,60.540000000000006,no,no,2,no
43,UT,60.25,no,no,2,no
44,IN,63.19,no,no,1,no
45,CO,43.21000000000001,no,no,1,no
46,CO,48.279999999999994,no,yes,3,yes
47,OK,62.58,no,no,1,no
48,ID,54.599999999999994,no,no,1,no
49,CA,68.28999999999999,no,yes,2,no
50,SD,58.629999999999995,no,yes,3,no
51,NC,43.3,no,no,2,no
52,WA,49.220000000000006,no,yes,2,no
53,WY,67.94999999999999,yes,no,0,no
54,MN,44.64,yes,no,0,no
55,UT,61.31999999999999,no,no,1,no
56,TX,51.47,no,no,4,yes
57,NJ,68.89,no,no,3,no
58,MN,65.69,no,yes,0,no
59,NM,62.68,no,no,3,no
60,NV,60.709999999999994,no,no,1,no
61,HI,61.92,no,no,0,no
62,MN,53.849999999999994,no,no,1,no
63,DC,78.59,no,no,0,yes
64,NY,24.81,no,no,4,yes
65,MN,58.36,no,no,2,no
66,MD,52.41,no,no,1,no
67,WV,70.07,no,no,1,no
68,OR,66.56,yes,no,3,no
69,GA,74.51,no,yes,1,no
70,VT,64.22,no,yes,0,no
71,IN,48.55,no,no,4,yes
72,WV,62.36,no,no,1,no
73,KY,45.78,no,yes,2,no
74,NJ,70.89,no,no,1,yes
75,DC,45.96,no,no,1,no
76,LA,59.63,no,no,0,yes
77,AR,47.230000000000004,no,no,1,no
78,ME,70.03,no,no,3,no
79,AZ,52.4,no,no,3,no
80,MT,53.17999999999999,no,no,0,no
81,AZ,59.900000000000006,no,no,4,no
82,MS,61.379999999999995,no,no,1,yes
83,ID,72.67,no,no,2,yes
84,IA,56.050000000000004,no,yes,4,no
85,MA,52.19,no,no,0,no
86,KY,49.6,no,no,1,no
87,IN,54.94,no,no,1,no
88,AZ,64.94,no,no,4,no
89,MI,73.45,no,yes,2,no
90,NM,43.779999999999994,no,yes,1,no
91,UT,62.5,no,no,3,no
92,MI,60.370000000000005,no,no,1,no
93,AL,53.85,no,no,4,no
94,DE,50.199999999999996,no,no,1,no
95,AZ,33.94,no,no,1,no
96,ME,61.35,yes,yes,0,yes
97,NJ,43.18000000000001,no,no,1,no
98,NV,74.37,no,no,1,yes
99,NE,64.05,no,no,1,no
100,TX,54.800000000000004,no,yes,0,no
101,MD,57.96,no,no,3,no
102,MS,45.379999999999995,no,no,1,no
103,NV,45.81,no,no,2,no
104,AZ,65.1,no,no,1,no
105,MS,32.38,no,no,4,yes
106,MS,54.5,no,yes,4,yes
107,TX,39.93,no,no,2,no
108,NE,49.849999999999994,no,no,3,no
109,CA,53.269999999999996,no,no,1,no
110,NJ,70.61,no,no,1,no
111,TX,60.42,no,no,4,no
112,AR,60.0,no,no,1,no
113,AL,47.93,yes,no,3,no
114,AK,53.77,no,yes,1,no
115,NV,54.910000000000004,no,yes,2,no
116,DE,57.449999999999996,no,no,1,no
117,MD,64.2,no,yes,0,no
118,MI,54.3,no,yes,3,no
119,VT,67.55,no,no,1,no
120,VT,54.72,yes,no,2,yes
121,LA,56.69,no,no,1,no
122,RI,70.5,no,yes,2,no
123,IA,59.52,no,no,1,no
124,NE,48.51,no,no,1,no
125,OH,55.57000000000001,no,no,1,no
126,RI,65.86000000000001,no,no,1,no
127,OK,68.81,no,no,5,no
128,LA,67.17999999999999,no,no,0,no
129,OH,83.62,no,no,0,yes
130,VA,59.45,no,yes,0,no
131,MO,61.07,no,no,1,no
132,FL,47.17,no,yes,1,no
133,VA,68.85,no,no,0,no
134,MI,38.97,no,no,1,no
135,GA,58.07000000000001,no,yes,1,no
136,DC,66.77000000000001,no,no,1,no
137,AZ,50.120000000000005,no,yes,1,no
138,AL,62.11,no,no,0,no
139,CO,63.690000000000005,no,no,1,no
140,NM,50.36000000000001,no,no,3,no
141,OR,43.28,no,no,1,no
142,LA,60.96999999999999,no,no,0,no
143,NE,65.0,no,no,2,no
144,MN,49.97,no,no,0,no
145,AR,55.36,no,no,3,no
146,KS,73.36,no,no,3,no
147,WV,64.44,yes,yes,4,no
148,AK,27.84,no,no,5,yes
149,NY,47.49999999999999,no,yes,2,no
150,NH,62.89000000000001,no,no,2,no
151,VA,71.05999999999999,yes,no,3,no
152,NM,70.1,no,no,1,no
153,NY,41.38,no,no,1,no
154,AZ,69.15,no,no,2,no
155,WA,65.84,no,no,1,no
156,TX,48.49,no,no,1,no
157,KY,61.629999999999995,no,no,2,no
158,MT,47.4,no,no,0,no
159,OK,68.74,no,yes,1,no
160,MD,56.85,no,yes,1,no
161,TN,52.709999999999994,no,no,0,no
162,TX,78.68,no,no,2,yes
163,ME,78.24999999999999,yes,yes,4,yes
164,DC,40.22,no,no,0,no
165,MN,54.76,no,yes,3,no
166,DE,69.92,no,no,2,no
167,MD,63.52,no,no,3,no
168,MI,48.839999999999996,no,no,2,no
169,WA,56.760000000000005,no,no,1,no
170,MO,44.54,no,yes,1,no
171,IN,56.67,no,no,2,no
172,OR,58.97,no,no,3,no
173,MD,60.97,no,no,3,no
174,RI,68.06,no,no,3,no
175,LA,62.69,no,no,1,no
176,AZ,64.39,yes,no,0,no
177,LA,55.79,no,no,3,no
178,FL,61.599999999999994,no,no,3,no
179,AL,55.76,no,no,0,no
180,WA,53.730000000000004,no,no,3,no
181,TN,54.06999999999999,no,yes,1,no
182,MS,56.25,no,no,1,no
183,ME,53.81,no,no,2,no
184,OK,36.04,no,no,2,no
185,IN,67.46000000000001,no,no,1,no
186,MO,65.94,no,no,3,no
187,IA,51.209999999999994,no,yes,2,no
188,KY,67.39,no,yes,0,no
189,MD,73.82999999999998,yes,no,0,yes
190,OH,67.48,yes,yes,1,no
191,OK,61.120000000000005,no,no,3,no
192,NV,54.37,no,no,0,no
193,ID,60.35,yes,no,1,no
194,MN,49.52,no,no,5,yes
195,SD,55.11,no,yes,2,no
196,IL,38.39,no,no,3,no
197,WY,34.69,no,no,0,no
198,NJ,53.73,no,no,0,no
199,NV,44.41,yes,no,2,yes
200,WV,62.03,no,no,3,no
201,SC,42.0,no,no,0,no
202,RI,30.67,no,yes,0,no
203,IN,61.99,no,no,0,no
204,AZ,59.18,no,no,4,no
205,OR,49.34,no,yes,4,yes
206,NJ,58.59,no,no,4,no
207,MI,50.44,no,yes,0,no
208,TX,55.66,yes,no,0,no
209,FL,54.38999999999999,no,yes,4,no
210,DC,48.63,no,no,1,no
211,TX,44.34,no,no,1,no
212,KS,35.97,yes,no,1,yes
213,UT,53.99999999999999,no,no,1,no
214,MN,56.22,no,yes,1,no
215,IL,45.11,no,no,1,no
216,NM,50.65,no,no,1,no
217,SC,58.26,no,no,1,no
218,NC,67.74,no,no,2,no
219,WV,70.27,no,yes,1,no
220,RI,65.25999999999999,no,yes,4,no
221,NH,49.88,no,no,3,no
222,MA,50.43,yes,no,2,no
223,PA,65.49,no,no,0,no
224,OK,47.24,no,no,1,no
225,AL,65.72,no,yes,3,no
226,WY,61.84,no,no,3,no
227,PA,53.01,no,yes,1,no
228,HI,64.04,yes,no,0,no
229,SD,52.400000000000006,no,yes,2,yes
230,AL,63.39999999999999,no,yes,2,no
231,VT,63.39,yes,no,3,no
232,MT,52.55,no,no,2,no
233,MN,60.36,no,no,2,no
234,AK,56.06,no,yes,1,no
235,SD,51.349999999999994,no,yes,2,no
236,MI,54.720000000000006,no,no,2,no
237,KS,65.84,no,no,2,no
238,AL,58.019999999999996,no,no,0,no
239,OK,87.88,no,no,1,yes
240,CT,71.32000000000001,no,yes,0,no
241,NE,33.52,no,no,0,no
242,WI,53.199999999999996,no,no,1,no
243,WI,52.38,no,yes,1,no
244,IN,59.76,no,no,1,no
245,DC,42.03,no,no,2,no
246,AR,53.28,no,no,0,no
247,ME,64.55000000000001,no,no,4,no
248,MD,47.36,no,no,2,no
249,FL,77.15,no,no,1,yes
250,IA,62.57,no,no,1,no
251,AZ,46.830000000000005,no,no,1,no
252,MO,68.78,no,no,2,no
253,VT,78.7,no,no,1,yes
254,IN,74.68,no,no,4,yes
255,RI,57.48,no,no,0,no
256,SD,68.84,no,no,3,no
257,MN,72.94,no,no,1,yes
258,TX,65.08,no,yes,1,no
259,VA,59.26,no,no,0,no
260,MA,49.06,no,no,0,no
261,ID,50.19,no,no,0,no
262,MA,41.879999999999995,no,no,1,no
263,GA,50.769999999999996,no,yes,2,no
264,RI,48.5,no,yes,3,no
265,MA,64.93,no,no,0,no
266,WY,46.85,no,yes,1,no
267,VA,55.99,no,no,0,no
268,OR,46.95,no,no,1,no
269,VA,59.39,no,no,3,no
270,ME,35.51,no,yes,0,no
271,AL,38.34,no,yes,1,no
272,GA,67.71,no,yes,1,no
273,IA,60.64,no,no,0,no
274,AZ,58.92,no,no,0,no
275,FL,65.12,no,no,3,no
276,MT,76.36,no,no,1,yes
277,AL,44.790000000000006,no,no,7,yes
278,DE,60.56,no,no,0,no
279,KY,55.879999999999995,no,yes,1,no
280,SC,59.5,no,no,0,no
281,WA,61.64,no,no,2,no
282,AK,63.1,no,no,0,no
283,GA,63.04,no,no,1,yes
284,IL,61.7,no,yes,0,no
285,IN,36.97,no,yes,2,no
286,SC,40.84,no,yes,1,no
287,VA,65.53999999999999,no,no,3,no
288,WI,49.69,no,yes,1,no
289,VT,59.089999999999996,no,no,1,no
290,AZ,46.04,no,yes,3,no
291,AK,58.78,no,no,4,no
292,AR,68.02000000000001,yes,yes,4,no
293,AR,45.269999999999996,no,no,1,no
