,Entity,Year,Hydro Energy(%),Hydro Electricity(%),Wind Energy(%),Wind Electricity(%),Solar Energy(%),Solar Electricity(%)
0,Africa,1985,6.5416107,19.093586,0.0,0.0,0.0,0.0
1,Africa,1986,6.6174736,18.935038,0.0,0.0,0.0,0.0
2,Africa,1987,6.1510053,17.50394,0.0,0.0,0.0,0.0
3,Africa,1988,6.2762327,18.149082,0.0,0.0,0.0,0.0
4,Africa,1989,6.575383,18.352066,0.0,0.0,0.0,0.0
5,Africa,1990,6.4756594,17.957624,0.0,0.0,0.0,0.0
6,Africa,1991,6.8665357,18.667395,0.0,0.0,0.0,0.0
7,Africa,1992,6.454692,17.64436,0.0,0.0,0.0,0.0
8,Africa,1993,6.311711,16.714472,0.00022280523,0.0005897577,0.0,0.0
9,Africa,1994,6.1963334,16.391645,0.00058110914,0.0015368222,0.0,0.0
10,Africa,1995,6.174329,16.476366,0.0006511559,0.0017367083,0.0,0.0
11,Africa,1996,6.2783985,16.303293,0.00071550993,0.0018575089,0.0,0.0
12,Africa,1997,6.3046694,15.924518,0.0007104949,0.0017956467,0.0,0.0
13,Africa,1998,6.4815254,16.396313,0.0007389949,0.00186951,0.0,0.0
14,Africa,1999,6.6663065,16.884209,0.0018670735,0.004729587,0.0,0.0
15,Africa,2000,6.936677,17.720497,0.01617664,0.054692887,0.0011007969,0.0
16,Africa,2001,7.1568594,18.57476,0.036778532,0.10520057,0.001324146,0.0
17,Africa,2002,7.35356,18.041227,0.03836359,0.09300716,0.0014531702,0.0043259147
18,Africa,2003,6.7681456,16.832907,0.04389952,0.12571098,0.0016437006,0.0041216714
19,Africa,2004,6.633235,16.795078,0.058429442,0.15137695,0.0018682962,0.00388146
20,Africa,2005,6.696118,16.549986,0.058821063,0.15495192,0.002214702,0.0037337812
21,Africa,2006,6.759675,16.464705,0.062608436,0.15595311,0.0027837367,0.0053776936
22,Africa,2007,6.696656,16.101215,0.0714853,0.2022938,0.0035508324,0.0051430627
23,Africa,2008,6.39227,16.120924,0.086475015,0.21762237,0.004789645,0.0067479797
24,Africa,2009,6.419966,16.558916,0.10247785,0.28379035,0.006178744,0.010075398
25,Africa,2010,6.694661,16.512848,0.14201224,0.35740134,0.013429861,0.058812886
26,Africa,2011,6.7864485,16.50816,0.14623758,0.3642933,0.03689415,0.07315726
27,Africa,2012,6.525726,15.982168,0.14759299,0.33793497,0.05823969,0.07621512
28,Africa,2013,6.6739335,16.3249,0.20384131,0.495119,0.044672735,0.07153277
29,Africa,2014,6.809334,16.469505,0.27768502,0.7511979,0.10449535,0.24498524
30,Africa,2015,6.4173684,15.679241,0.47488478,1.1247321,0.1736639,0.4204607
31,Africa,2016,6.06169,15.411623,0.57693774,1.3627558,0.2779333,0.63066465
32,Africa,2017,6.3259087,15.647016,0.6237429,1.4453218,0.3892137,0.8221441
33,Africa,2018,6.5469427,16.307402,0.7183791,1.8746395,0.48900396,1.1029457
34,Africa,2019,6.617261,16.375631,0.91754866,2.236831,0.6120093,1.6736958
35,Africa,2020,7.327819,17.610857,1.0664787,2.1868074,0.8039458,1.7831272
36,Africa,2021,7.227977,17.301483,1.1503035,2.4888308,0.77807826,2.0396738
37,Africa ,1985,6.5416107,19.093586,0.0,0.0,0.0,0.0
38,Africa ,1986,6.6174746,18.93504,0.0,0.0,0.0,0.0
39,Africa ,1987,6.1510053,17.50394,0.0,0.0,0.0,0.0
40,Africa ,1988,6.276232,18.149086,0.0,0.0,0.0,0.0
41,Africa ,1989,6.5753827,18.352068,0.0,0.0,0.0,0.0
42,Africa ,1990,6.4756594,17.957624,0.0,0.0,0.0,0.0
43,Africa ,1991,6.866536,18.667395,0.0,0.0,0.0,0.0
44,Africa ,1992,6.4546914,17.64436,0.0,0.0,0.0,0.0
45,Africa ,1993,6.311711,16.71447,0.00022280523,0.0005897577,0.0,0.0
46,Africa ,1994,6.1963334,16.391645,0.00058110914,0.0015368222,0.0,0.0
47,Africa ,1995,6.174329,16.476366,0.00065115583,0.0017367083,0.0,0.0
48,Africa ,1996,6.2783985,16.303293,0.00071550993,0.0018575089,0.0,0.0
49,Africa ,1997,6.3046694,15.924517,0.0007104949,0.0017956466,0.0,0.0
50,Africa ,1998,6.4815254,16.39631,0.0007389949,0.0018695099,0.0,0.0
51,Africa ,1999,6.6663065,16.884209,0.0018673571,0.004729587,0.0,0.0
52,Africa ,2000,6.936677,17.096462,0.016176648,0.039869737,0.0011006584,0.0027127322
53,Africa ,2000,6.936677,17.096462,0.016176648,0.039869737,0.0011006584,0.0
54,Africa ,2000,6.936677,17.096462,0.016176648,0.054692887,0.0011006584,0.0027127322
55,Africa ,2000,6.936677,17.096462,0.016176648,0.054692887,0.0011006584,0.0
56,Africa ,2000,6.936677,17.720495,0.016176648,0.039869737,0.0011006584,0.0027127322
57,Africa ,2000,6.936677,17.720495,0.016176648,0.039869737,0.0011006584,0.0
58,Africa ,2000,6.936677,17.720495,0.016176648,0.054692887,0.0011006584,0.0027127322
59,Africa ,2000,6.936677,17.720495,0.016176648,0.054692887,0.0011006584,0.0
60,Africa ,2001,7.1568594,17.614204,0.036778532,0.090518005,0.0013239534,0.0032584567
61,Africa ,2001,7.1568594,17.614204,0.036778532,0.090518005,0.0013239534,0.0
62,Africa ,2001,7.1568594,17.614204,0.036778532,0.10520057,0.0013239534,0.0032584567
63,Africa ,2001,7.1568594,17.614204,0.036778532,0.10520057,0.0013239534,0.0
64,Africa ,2001,7.1568594,18.57476,0.036778532,0.090518005,0.0013239534,0.0032584567
65,Africa ,2001,7.1568594,18.57476,0.036778532,0.090518005,0.0013239534,0.0
66,Africa ,2001,7.1568594,18.57476,0.036778532,0.10520057,0.0013239534,0.0032584567
67,Africa ,2001,7.1568594,18.57476,0.036778532,0.10520057,0.0013239534,0.0
68,Africa ,2002,7.353559,17.438547,0.0383636,0.090977095,0.0014529313,0.003445546
69,Africa ,2002,7.353559,17.438547,0.0383636,0.090977095,0.0014529313,0.0043259147
70,Africa ,2002,7.353559,17.438547,0.0383636,0.09300716,0.0014529313,0.003445546
71,Africa ,2002,7.353559,17.438547,0.0383636,0.09300716,0.0014529313,0.0043259147
72,Africa ,2002,7.353559,18.041227,0.0383636,0.090977095,0.0014529313,0.003445546
73,Africa ,2002,7.353559,18.041227,0.0383636,0.090977095,0.0014529313,0.0043259147
74,Africa ,2002,7.353559,18.041227,0.0383636,0.09300716,0.0014529313,0.003445546
75,Africa ,2002,7.353559,18.041227,0.0383636,0.09300716,0.0014529313,0.0043259147
76,Africa ,2003,6.768146,16.221458,0.04389985,0.10521633,0.0016441405,0.0039405706
77,Africa ,2003,6.768146,16.221458,0.04389985,0.10521633,0.0016441405,0.004121672
78,Africa ,2003,6.768146,16.221458,0.04389985,0.125711,0.0016441405,0.0039405706
79,Africa ,2003,6.768146,16.221458,0.04389985,0.125711,0.0016441405,0.004121672
80,Africa ,2003,6.768146,16.832909,0.04389985,0.10521633,0.0016441405,0.0039405706
81,Africa ,2003,6.768146,16.832909,0.04389985,0.10521633,0.0016441405,0.004121672
82,Africa ,2003,6.768146,16.832909,0.04389985,0.125711,0.0016441405,0.0039405706
83,Africa ,2003,6.768146,16.832909,0.04389985,0.125711,0.0016441405,0.004121672
84,Africa ,2004,6.633234,16.127983,0.05842944,0.1420648,0.0018683693,0.004542727
85,Africa ,2004,6.633234,16.127983,0.05842944,0.1420648,0.0018683693,0.00388146
86,Africa ,2004,6.633234,16.127983,0.05842944,0.15137695,0.0018683693,0.004542727
87,Africa ,2004,6.633234,16.127983,0.05842944,0.15137695,0.0018683693,0.00388146
88,Africa ,2004,6.633234,16.795078,0.05842944,0.1420648,0.0018683693,0.004542727
89,Africa ,2004,6.633234,16.795078,0.05842944,0.1420648,0.0018683693,0.00388146
90,Africa ,2004,6.633234,16.795078,0.05842944,0.15137695,0.0018683693,0.004542727
91,Africa ,2004,6.633234,16.795078,0.05842944,0.15137695,0.0018683693,0.00388146
92,Africa ,2005,6.696118,15.851317,0.058821063,0.13924359,0.002214768,0.0052428916
93,Africa ,2005,6.696118,15.851317,0.058821063,0.13924359,0.002214768,0.0037337812
94,Africa ,2005,6.696118,15.851317,0.058821063,0.15495192,0.002214768,0.0052428916
95,Africa ,2005,6.696118,15.851317,0.058821063,0.15495192,0.002214768,0.0037337812
96,Africa ,2005,6.696118,16.549986,0.058821063,0.13924359,0.002214768,0.0052428916
97,Africa ,2005,6.696118,16.549986,0.058821063,0.13924359,0.002214768,0.0037337812
98,Africa ,2005,6.696118,16.549986,0.058821063,0.15495192,0.002214768,0.0052428916
99,Africa ,2005,6.696118,16.549986,0.058821063,0.15495192,0.002214768,0.0037337812
100,Africa ,2006,6.759675,15.703465,0.062608436,0.14544626,0.0027840806,0.006467732
101,Africa ,2006,6.759675,15.703465,0.062608436,0.14544626,0.0027840806,0.0053776936
102,Africa ,2006,6.759675,15.703465,0.062608436,0.15595311,0.0027840806,0.006467732
