,Entity,Year,Geo and Biomass Energy(TWh),Solar Energy(TWh),Wind Energy(TWh),Hydro Energy(TWh),Wind Electricity(TWh),Hydro Electricity(TWh),Solar Electricity(TWh),Other Energy(TWh)
0,Africa,1971,0.164,0.0,0.0,26.01339,0.0,26.01339,0.0,0.164
1,Africa,1972,0.165,0.0,0.0,29.633196,0.0,29.633196,0.0,0.165
2,Africa,1973,0.17,0.0,0.0,31.345707,0.0,31.345707,0.0,0.17
3,Africa,1974,0.175,0.0,0.0,35.667076,0.0,35.667076,0.0,0.175
4,Africa,1975,0.172,0.0,0.0,37.717968,0.0,37.717968,0.0,0.172
5,Africa,1976,0.185,0.0,0.0,41.797634,0.0,41.797634,0.0,0.185
6,Africa,1977,0.189,0.0,0.0,45.92877,0.0,45.92877,0.0,0.189
7,Africa,1978,0.195,0.0,0.0,46.306942,0.0,46.306942,0.0,0.195
8,Africa,1979,0.201,0.0,0.0,49.56523,0.0,49.56523,0.0,0.201
9,Africa,1980,0.207,0.0,0.0,48.311787,0.0,48.311787,0.0,0.207
10,Africa,1981,0.218,0.0,0.0,50.192905,0.0,50.192905,0.0,0.218
11,Africa,1982,0.236,0.0,0.0,50.206238,0.0,50.206238,0.0,0.236
12,Africa,1983,0.23,0.0,0.0,45.24716,0.0,45.24716,0.0,0.23
13,Africa,1984,0.234,0.0,0.0,44.489975,0.0,44.489975,0.0,0.234
14,Africa,1985,0.269,0.0,0.0,49.449684,0.0,49.449684,0.0,0.269
15,Africa,1986,0.659,0.0,0.0,51.14537,0.0,51.14537,0.0,0.659
16,Africa,1987,0.658,0.0,0.0,49.05646,0.0,49.05646,0.0,0.658
17,Africa,1988,0.626,0.0,0.0,53.593452,0.0,53.593452,0.0,0.626
18,Africa,1989,0.617,0.0,0.0,56.27621,0.0,56.27621,0.0,0.617
19,Africa,1990,0.796,0.0,0.0,57.254658,0.0,57.254658,0.0,0.796
20,Africa,1991,0.812,0.0,0.0,60.65149,0.0,60.65149,0.0,0.812
21,Africa,1992,0.84225,0.0,0.0,57.86029,0.0,57.86029,0.0,0.84225
22,Africa,1993,0.9377,0.0,0.002,56.682507,0.002,56.682507,0.0,0.9377
23,Africa,1994,0.835,0.0,0.0054,57.59605,0.0054,57.59605,0.0,0.835
24,Africa,1995,1.0187,0.0,0.0063,59.76888,0.0063,59.76888,0.0,1.0187
25,Africa,1996,1.258093,0.0,0.0071,62.31646,0.0071,62.31646,0.0,1.258093
26,Africa,1997,1.3866404,0.0,0.0072,63.852497,0.0072,63.852497,0.0,1.3866404
27,Africa,1998,1.7125492,0.0,0.0076,66.654884,0.0076,66.654884,0.0,1.7125492
