,Entity,Year,% primary energy,% electricity
0,Africa,1985,6.580027,19.197454
1,Africa,1986,6.7038097,19.179012
2,Africa,1987,6.2346725,17.738724
3,Africa,1988,6.3508363,18.361074
4,Africa,1989,6.648682,18.553274
5,Africa,1990,6.568428,18.207285
6,Africa,1991,6.9617434,18.917315
7,Africa,1992,6.5524845,17.901201
8,Africa,1993,6.4210205,16.99157
9,Africa,1994,6.2905235,16.630821
10,Africa,1995,6.2837534,16.758926
11,Africa,1996,6.4112005,16.634296
12,Africa,1997,6.44885,16.272135
13,Africa,1998,6.657183,16.819448
14,Africa,1999,6.8363028,17.294086
15,Africa,2000,7.1749406,18.374432
16,Africa,2001,7.4141307,19.263138
17,Africa,2002,7.6051617,18.668484
18,Africa,2003,7.0411763,17.521225
19,Africa,2004,6.9333735,17.567488
20,Africa,2005,6.998331,17.419956
21,Africa,2006,7.123233,17.282114
22,Africa,2007,7.0094085,16.92582
23,Africa,2008,6.716138,17.006596
24,Africa,2009,6.7757106,17.57653
25,Africa,2010,7.1018925,17.634817
26,Africa,2011,7.2255993,17.671211
27,Africa,2012,6.989345,17.093758
28,Africa,2013,7.1956143,17.647554
29,Africa,2014,7.509692,18.590454
30,Africa,2015,7.464454,18.623781
31,Africa,2016,7.307821,18.739191
32,Africa,2017,7.7397423,19.122046
33,Africa,2018,8.169643,20.473812
34,Africa,2019,8.5593,21.454725
35,Africa,2020,9.624269,22.731155
36,Africa,2021,9.555876,22.963007
37,Africa ,1985,6.580027,19.197454
38,Africa ,1986,6.70381,19.179014
39,Africa ,1987,6.2346725,17.738724
40,Africa ,1988,6.3508363,18.361078
41,Africa ,1989,6.648681,18.553274
42,Africa ,1990,6.568428,18.207285
43,Africa ,1991,6.9617443,18.917315
44,Africa ,1992,6.552484,17.901201
45,Africa ,1993,6.4210205,16.991568
46,Africa ,1994,6.2905235,16.630821
47,Africa ,1995,6.2837534,16.758926
48,Africa ,1996,6.4112005,16.634296
49,Africa ,1997,6.44885,16.272135
50,Africa ,1998,6.657183,16.819447
51,Africa ,1999,6.8363028,17.294086
52,Africa ,2000,7.1749406,17.654526
53,Africa ,2000,7.1749406,18.374432
54,Africa ,2001,7.41413,18.216648
55,Africa ,2001,7.41413,19.263138
56,Africa ,2002,7.6197057,18.0019
57,Africa ,2002,7.6197057,18.668484
58,Africa ,2003,7.056476,16.845776
59,Africa ,2003,7.056476,17.521227
60,Africa ,2004,6.950178,16.825418
61,Africa ,2004,6.950178,17.567488
62,Africa ,2005,7.004725,16.532818
63,Africa ,2005,7.004725,17.419956
64,Africa ,2006,7.125098,16.498604
65,Africa ,2006,7.125098,17.282114
66,Africa ,2007,7.0290914,16.27717
67,Africa ,2007,7.0290914,16.92582
68,Africa ,2008,6.73045,16.296865
69,Africa ,2008,6.73045,17.006596
70,Africa ,2009,6.7835674,16.63348
71,Africa ,2009,6.7835674,17.57653
72,Africa ,2010,7.106614,16.941187
73,Africa ,2010,7.106614,17.634817
74,Africa ,2011,7.2368093,17.035778
75,Africa ,2011,7.2368093,17.671211
76,Africa ,2012,7.0023284,16.439018
77,Africa ,2012,7.0023284,17.093758
78,Africa ,2013,7.207865,16.964638
79,Africa ,2013,7.207865,17.647552
80,Africa ,2014,7.5212083,17.726316
81,Africa ,2014,7.5212083,18.590456
82,Africa ,2015,7.4785933,17.680172
83,Africa ,2015,7.4785933,18.623781
84,Africa ,2016,7.3201394,17.64968
85,Africa ,2016,7.3201394,18.739191
86,Africa ,2017,7.7515693,18.653673
87,Africa ,2017,7.7515693,19.122046
88,Africa ,2018,8.187628,19.723248
89,Africa ,2018,8.187628,20.473812
90,Africa ,2019,8.574492,20.735146
91,Africa ,2019,8.574492,21.454725
92,Africa ,2020,9.644047,22.43074
93,Africa ,2020,9.644047,22.731155
94,Africa ,2021,9.574978,22.54922
95,Africa ,2021,9.574978,22.963007
96,Algeria,1985,0.72826535,5.2631583
97,Algeria,1986,0.26640448,1.9258916
98,Algeria,1987,0.5174273,3.9223394
99,Algeria,1988,0.17717436,1.310325
100,Algeria,1989,0.22495823,1.4748107
101,Algeria,1990,0.1267387,0.8383011
102,Algeria,1991,0.277607,1.6892477
103,Algeria,1992,0.18375747,1.0882642
104,Algeria,1993,0.35028014,1.8182755
105,Algeria,1994,0.16257899,0.83488405
106,Algeria,1995,0.1822476,0.9789501
107,Algeria,1996,0.1288034,0.6536265
108,Algeria,1997,0.0744559,0.34888592
109,Algeria,1998,0.20617962,0.9242542
110,Algeria,1999,0.19274342,0.8199701
111,Algeria,2000,0.053235482,0.20929259
112,Algeria,2001,0.065218486,0.2796644
113,Algeria,2002,0.05167677,0.23085803
114,Algeria,2003,0.228104,0.93491554
115,Algeria,2004,0.2067869,0.8506295
116,Algeria,2005,0.43411878,1.7235976
117,Algeria,2006,0.16327195,0.6640507
118,Algeria,2007,0.15990457,0.6289308
119,Algeria,2008,0.1877543,0.74015325
120,Algeria,2009,0.21278548,0.8285005
121,Algeria,2010,0.11513238,0.39534885
122,Algeria,2011,0.2352599,1.0379905
123,Algeria,2012,0.22453195,1.1483607
124,Algeria,2013,0.064763196,0.58604157
125,Algeria,2014,0.117502466,0.41390726
126,Algeria,2015,0.096813366,0.34013605
127,Algeria,2016,0.14580712,0.509287
128,Algeria,2017,0.24701829,0.8951049
129,Algeria,2018,0.28767928,1.0816808
130,Algeria,2019,0.29474697,1.0953188
131,Algeria,2020,0.29789943,0.9898268
132,Algeria,2021,0.26136735,1.1735878
133,Argentina,1985,12.759556,45.853027
134,Argentina,1986,12.298526,43.15237
135,Argentina,1987,12.247486,42.24961
136,Argentina,1988,8.417367,29.299515
137,Argentina,1989,7.5435934,26.135784
138,Argentina,1990,10.292679,34.989185
139,Argentina,1991,9.081444,29.710293
140,Argentina,1992,10.206743,34.389725
141,Argentina,1993,12.216533,38.57245
142,Argentina,1994,13.306406,41.73245
143,Argentina,1995,12.535519,39.635246
144,Argentina,1996,10.225038,32.54642
145,Argentina,1997,12.514141,38.803555
146,Argentina,1998,11.482152,36.01876
147,Argentina,1999,9.226557,26.86689
148,Argentina,2000,12.283858,33.88856
149,Argentina,2001,15.937488,42.82576
150,Argentina,2002,16.249306,44.43623
151,Argentina,2003,14.408259,39.006126
152,Argentina,2004,12.1855755,32.42763
153,Argentina,2005,12.788524,34.304974
154,Argentina,2006,13.449462,34.712746
155,Argentina,2007,10.599154,28.128101
156,Argentina,2008,10.437064,27.25926
157,Argentina,2009,11.783506,29.836628
158,Argentina,2010,11.661375,28.761284
159,Argentina,2011,10.929448,26.419552
160,Argentina,2012,10.216426,24.0345
161,Argentina,2013,10.950079,26.475702
162,Argentina,2014,11.038978,26.075413
163,Argentina,2015,10.907397,24.65346
164,Argentina,2016,10.167007,22.214266
165,Argentina,2017,10.964719,24.103342
166,Argentina,2018,11.39763,25.016096
167,Argentina,2019,11.926772,26.006308
168,Argentina,2020,12.179417,26.714254
169,Argentina,2021,11.329249,25.347696
170,Asia,1985,5.351891,18.021776
171,Asia,1986,5.18894,17.217163
172,Asia,1987,5.0807996,16.428139
173,Asia,1988,5.4397326,17.556263
174,Asia,1989,5.3260098,16.813385
175,Asia,1990,5.332829,16.312374
176,Asia,1991,5.191642,15.670186
177,Asia,1992,5.006854,14.945118
178,Asia,1993,5.3182926,15.742844
179,Asia,1994,5.0572066,14.605704
180,Asia,1995,5.263786,14.895889
181,Asia,1996,5.012627,14.109113
182,Asia,1997,4.8879094,13.528753
183,Asia,1998,5.17496,13.913553
184,Asia,1999,4.9225016,13.041746
185,Asia,2000,4.9022627,13.29965
186,Asia,2001,5.071513,13.711943
187,Asia,2002,4.974642,13.305848
188,Asia,2003,4.7754045,12.906311
189,Asia,2004,5.0844684,13.81895
190,Asia,2005,4.912455,13.493234
191,Asia,2006,5.102126,13.684091
192,Asia,2007,5.0578494,13.271046
193,Asia,2008,5.5608997,14.764971
194,Asia,2009,5.401413,14.237518
195,Asia,2010,5.8946567,14.998569
196,Asia,2011,5.8202963,14.592348
197,Asia,2012,6.3957253,16.109682
198,Asia,2013,6.8686776,16.681847
199,Asia,2014,7.4121513,17.621546
200,Asia,2015,7.78167,18.716984
201,Asia,2016,8.205105,19.39271
202,Asia,2017,8.699321,20.155329
203,Asia,2018,9.161237,20.771847
204,Asia,2019,9.805447,22.13152
205,Asia,2020,10.580009,23.373877
206,Asia,2021,10.954556,23.770035
207,Asia Pacific ,1985,6.1838017,19.79031
208,Asia Pacific ,1986,6.0971885,19.28582
209,Asia Pacific ,1987,5.757307,17.714008
210,Asia Pacific ,1988,5.9299726,18.171684
