,GPA Category,"How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)","On a night out, how many alcoholic drinks do you consume?",How often do you go out partying/socialising during the week? ,Cluster_hierarchy_4
0,Medium,3,8+,Only weekends,2
1,Very High,4+,3-5,Only weekends,4
2,Medium,3,8+,2,2
3,Very High,2,8+,3,2
4,Low,1,5-8,Only weekends,1
6,High,1,5-8,2,1
7,Very High,2,3-5,3,2
11,High,0,8+,3,3
12,High,2,3-5,2,3
13,Low,0,3-5,1,4
15,Very High,0,1-3,Only weekends,4
17,Low,0,5-8,4+,4
19,Low,3,5-8,Only weekends,1
20,High,0,0,2,3
21,High,0,5-8,Only weekends,4
23,High,2,3-5,Only weekends,4
24,Medium,2,3-5,2,2
25,Low,2,8+,2,1
26,High,0,3-5,Only weekends,4
27,High,1,8+,Only weekends,4
28,High,0,1-3,Only weekends,4
29,High,0,5-8,3,3
30,Very High,0,5-8,1,4
31,Very High,0,5-8,Only weekends,4
33,Very High,2,5-8,1,2
34,High,0,3-5,1,4
35,High,2,8+,0,3
36,Medium,2,5-8,2,2
37,Low,2,8+,1,2
38,Very High,3,3-5,Only weekends,4
39,High,0,1-3,3,3
40,Medium,2,5-8,3,2
41,Low,2,3-5,1,2
42,Very High,4+,8+,1,2
46,High,0,5-8,2,3
47,Medium,0,1-3,1,4
48,Medium,0,5-8,0,4
49,Very High,0,1-3,1,3
50,Medium,1,1-3,Only weekends,4
53,Very High,0,1-3,1,3
54,Very High,0,8+,Only weekends,2
55,Low,0,1-3,1,1
56,Very High,2,5-8,Only weekends,2
57,Very High,4+,8+,1,2
58,Very High,0,3-5,Only weekends,4
59,Very High,0,3-5,Only weekends,4
60,Low,0,5-8,2,1
61,Medium,2,3-5,3,2
62,High,0,3-5,Only weekends,4
63,Very High,0,1-3,1,3
65,Very High,3,3-5,1,2
66,Medium,0,0,1,4
69,Very High,0,8+,2,2
71,Very High,2,5-8,Only weekends,2
73,Very High,0,0,1,4
74,Low,0,1-3,3,1
75,Medium,0,5-8,1,4
78,Medium,0,8+,2,2
79,Very High,1,8+,1,2
80,High,0,1-3,Only weekends,4
81,Medium,0,8+,1,2
82,Medium,3,5-8,1,2
83,High,0,5-8,Only weekends,4
84,Medium,0,5-8,Only weekends,4
85,Very High,0,5-8,2,4
86,High,1,5-8,1,3
88,Medium,3,5-8,1,2
89,Low,1,3-5,2,1
90,High,2,5-8,1,3
91,Medium,0,3-5,Only weekends,4
92,Very High,3,5-8,1,2
93,High,1,5-8,Only weekends,4
94,Medium,1,8+,2,2
95,High,1,8+,Only weekends,4
96,Low,1,5-8,3,1
98,Low,0,3-5,1,4
99,Medium,1,3-5,2,1
100,Medium,1,5-8,1,2
101,Low,0,3-5,2,1
102,Low,2,5-8,Only weekends,1
103,Medium,0,1-3,Only weekends,4
105,High,4+,0,1,3
106,Medium,2,5-8,Only weekends,2
108,Low,0,8+,1,1
109,High,0,3-5,1,4
110,Medium,4+,8+,Only weekends,2
111,Low,1,3-5,2,1
112,Very High,1,5-8,1,2
113,Low,0,5-8,Only weekends,1
116,Very High,0,0,Only weekends,4
117,Low,0,1-3,Only weekends,4
118,Low,1,1-3,2,1
119,Medium,0,1-3,2,3
120,Medium,0,1-3,Only weekends,4
121,High,4+,8+,2,3
122,High,0,5-8,1,3
123,Low,1,5-8,1,1
124,Very High,1,3-5,2,2
125,High,2,5-8,1,3
126,Very High,0,3-5,1,4
127,High,0,5-8,Only weekends,4
128,High,0,1-3,Only weekends,4
130,High,4+,5-8,3,2
131,Medium,2,5-8,3,2
133,Medium,4+,5-8,4+,2
134,Medium,0,0,Only weekends,4
135,High,3,3-5,2,2
136,Low,0,0,1,4
138,Low,2,3-5,3,2
139,Low,0,8+,Only weekends,1
141,Medium,0,5-8,Only weekends,4
142,High,1,5-8,1,3
143,Very High,4+,1-3,2,2
144,Very High,4+,1-3,2,2
145,High,0,1-3,1,3
146,Very High,1,3-5,3,2
147,Low,2,8+,2,1
148,Medium,0,5-8,1,4
149,Medium,2,3-5,Only weekends,4
151,Very High,1,1-3,1,3
152,Very High,2,8+,4+,2
154,Low,1,8+,1,1
